date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:19	21200/21200	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Mar%202016%2021:51:12%20GMT	http://corpthemes.com/html/sumi/javascript/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery.magnific-popup.min.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:19	1933/1933	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202015%2014:35:24%20GMT	http://corpthemes.com/html/sumi/javascript/parallax.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/parallax.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:19	14225/14225	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Feb%202015%2005:06:58%20GMT	http://corpthemes.com/html/sumi/javascript/smoothscroll.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/smoothscroll.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:19	22342/22342	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202015%2011:33:30%20GMT	http://corpthemes.com/html/sumi/javascript/jquery.flexslider-min.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery.flexslider-min.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:20	21068/21068	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202015%2014:35:24%20GMT	http://corpthemes.com/html/sumi/javascript/jquery-validate.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery-validate.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:21	79152/79152	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202015%2014:35:24%20GMT	http://corpthemes.com/html/sumi/javascript/owl.carousel.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/owl.carousel.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:22	25225/25225	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Aug%202015%2017:19:34%20GMT	http://corpthemes.com/html/sumi/javascript/gmap3.min.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/gmap3.min.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:22	32045/32045	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20Apr%202017%2016:49:44%20GMT	http://corpthemes.com/html/sumi/javascript/main.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/main.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:22	48706/48706	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202016%2021:31:32%20GMT	http://corpthemes.com/html/sumi/javascript/jquery.fancybox.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery.fancybox.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:23	2856/2856	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202016%2016:42:48%20GMT	http://corpthemes.com/html/sumi/javascript/slider.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/slider.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:25	98511/98511	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Nov%202014%2016:25:12%20GMT	http://corpthemes.com/html/sumi/javascript/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery.themepunch.tools.min.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:25	113138/113138	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2026%20Nov%202014%2021:23:30%20GMT	http://corpthemes.com/html/sumi/javascript/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/javascript/jquery.themepunch.revolution.min.js	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:17:27	25254/25254	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Dec%202017%2013:17:23%20GMT	http://corpthemes.com/html/sumi/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/fonts/glyphicons-halflings-regular.eot	(from http://corpthemes.com/html/sumi/stylesheets/bootstrap.css)
